Star system,Government,Allegiance,Power,Population,Fac,Sta,Inf,Updated
134 Tauri︎,Corporate,Independent,,2194293,4,3.0,51.3%,13 days ago
23 Geminorum︎,Corporate,Independent,,98212,4,1.0,60.0%,2 days ago
30 Geminorum︎,Corporate,Independent,,109845,4,9.0,53.1%,1 hour ago
75 l Orionis︎,Corporate,Independent,,111344,4,1.0,60.3%,2 days ago
Aapep︎,Anarchy,Independent,,162288,6,26.0,6.2%,1 day ago
Alkondu︎,Anarchy,Independent,,23913,4,27.0,15.8%,2 days ago
Amitabha︎,Anarchy,Independent,,3048441,7,13.0,7.7%,1 day ago
Bach︎,Anarchy,Independent,,16461,5,11.0,11.6%,17 hours ago
Bastana︎,Confederacy,Federation,,7153533,7,87.0,5.1%,1 day ago
Bhime︎,Democracy,Independent,,16150961,7,24.0,13.5%,4 days ago
Bletii︎,Patronage,Independent,,6108032,6,124.0,15.3%,12 minutes ago
Celes︎,Corporate,Independent,,89354,7,37.0,39.9%,1 day ago
Col 285 Sector AJ-Q b6-2︎,Corporate,Independent,,149249,4,2.0,53.9%,30 days ago
Col 285 Sector AU-O b7-4︎,Corporate,Independent,,209522,4,3.0,60.1%,6 days ago
Col 285 Sector BA-Z d24︎,Corporate,Federation,,125320,3,2.0,12.7%,6 days ago
Col 285 Sector BA-Z d70︎,Corporate,Federation,,35923908,3,13.0,10.4%,1 day ago
Col 285 Sector BK-N b8-0︎,Corporate,Independent,,61062,4,2.0,19.8%,47 days ago
Col 285 Sector BK-N b8-2︎,Corporate,Independent,,1784199,4,3.0,20.0%,2 days ago
Col 285 Sector BU-O b7-1︎,Corporate,Independent,,919208,4,5.0,60.3%,4 days ago
Col 285 Sector BU-O b7-3︎,Corporate,Independent,,93080,4,1.0,56.6%,6 days ago
Col 285 Sector BU-O b7-4︎,Corporate,Independent,,197588,4,2.0,53.7%,8 days ago
Col 285 Sector BU-O b7-5︎,Democracy,Independent,,7404665,4,29.0,20.3%,2 days ago
Col 285 Sector CU-O b7-1︎,Cooperative,Independent,,59765,4,4.0,19.9%,4 days ago
Col 285 Sector DF-N b8-3︎,Corporate,Independent,,50939,4,1.0,52.8%,6 days ago
Col 285 Sector DV-Y d32︎,Corporate,Independent,,187135,4,3.0,55.8%,7 days ago
Col 285 Sector EP-O b7-3︎,Patronage,Independent,,4187678,4,5.0,20.7%,5 days ago
Col 285 Sector FA-N b8-0︎,Corporate,Independent,,28182851,4,1.0,61.9%,6 days ago
Col 285 Sector FA-N b8-1︎,Corporate,Independent,,57472,4,,61.1%,10 days ago
Col 285 Sector FG-X d1-20︎,Corporate,Independent,,142509,4,8.0,60.5%,5 days ago
Col 285 Sector FG-X d1-43︎,Corporate,Independent,,154704,4,2.0,58.6%,13 days ago
Col 285 Sector FG-X d1-53︎,Corporate,Independent,,170188,4,1.0,55.4%,11 days ago
Col 285 Sector FG-X d1-68︎,Corporate,Independent,,161946,3,1.0,64.6%,6 days ago
Col 285 Sector FK-O b7-3︎,Patronage,Independent,,81379,4,1.0,19.1%,6 days ago
